date,paper,title,url
1959-09-05,Connacht Tribune,Draw Was Fitting Result To Thriller / Try Again,https://irishnewsarchive.com/?a=d&d=CTT19590905.1.12
1959-09-05,Tuam Herald,Champions Baulked in Bid for 13th Hurling Title. Fohenagh Draw with Castlegar,https://irishnewsarchive.com/?a=d&d=TTH19590905.1.8
1959-09-15,Connacht Sentinel,Castlegar have fallen and the new champions are Fohenagh,https://irishnewsarchive.com/?a=d&d=CSL19590915.1.4
1959-09-19,Connacht Tribune,"Sweeney, Star of the Champions / County Galway Senior Hurling Championship final replay",https://irishnewsarchive.com/?a=d&d=CTT19590919.1.30
1959-09-19,Tuam Herald,Fohenagh captured the County Cup for the first time / replay of county senior final,https://irishnewsarchive.com/?a=d&d=TTH19590919.1.8
1959-11-07,Connacht Tribune,"Clonbur 1-8 (11), Fohenagh 1-5 (8) / Galway junior football championship semi-final",https://irishnewsarchive.com/?a=d&d=CTT19591107.1.15
1960-09-03,Connacht Tribune,Fohenagh Retain Nightmare Hurling Final / Game Marred By Unruly Scenes,https://irishnewsarchive.com/?a=d&d=CTT19600903.1.14
1961-09-16,Connacht Tribune,Turloughmore dethroned Fohenagh in a dream finish,https://irishnewsarchive.com/?a=d&d=CTT19610916.1.30
1962-06-09,Connacht Tribune,,https://irishnewsarchive.com/?a=d&d=CTT19620609.1.29
1963-08-17,Connacht Tribune,Turloughmore 5-13; Fohenagh 2-4 / senior hurling final,https://irishnewsarchive.com/?a=d&d=CTT19630817.1.31
1973-05-04,Connacht Tribune,,https://irishnewsarchive.com/?a=d&d=CTT19730504.1.9
1977-12-09,Connacht Tribune,,https://irishnewsarchive.com/?a=d&d=CTT19771209.1.11
1980-08-01,Connacht Tribune,,https://irishnewsarchive.com/?a=d&d=CTT19800801.1.8
1981-11-20,Connacht Tribune,"Ahascragh 3-9, Fohenagh 3-3",https://irishnewsarchive.com/?a=d&d=CTT19811120.1.15
1993-11-05,Connacht Tribune,Athenry.. Fohenagh,https://irishnewsarchive.com/?a=d&d=CTT19931105.1.14
2000-07-11,Irish Examiner,"Fohenagh 1-7, Oranmore-Maree 2-3",https://irishnewsarchive.com/?a=d&d=IEX20000711.1.110
2007-06-08,Connacht Tribune,Fohenagh Community Centre facilities,https://irishnewsarchive.com/?a=d&d=CTT20070608.1.15
2009-11-27,Connacht Tribune,A golden era in the history of Fohenagh Hurling Club,https://irishnewsarchive.com/?a=d&d=CTT20091127.1.54
2010-01-29,Connacht Tribune,Sean Glennon from Fohenagh accepting a Best Individual Award,https://irishnewsarchive.com/?a=d&d=CTT20100129.1.24
2010-02-05,Connacht Tribune,,https://irishnewsarchive.com/?a=d&d=CTT20100205.1.17
2010-12-09,Tuam Herald,Fohenagh reaches out to emigrants,https://irishnewsarchive.com/?a=d&d=TTH20101209.1.10
2011-03-25,Connacht Tribune,,https://irishnewsarchive.com/?a=d&d=CTT20110325.1.21
2012-05-08,Roscommon Herald,Fohenagh feast on fantastic cup success,https://irishnewsarchive.com/?a=d&d=RCH20120508.1.91
2013-02-26,Roscommon Herald,Fohenagh 2-1 Skyvalley Rovers 1 (soccer snippet),https://irishnewsarchive.com/?a=d&d=RCH20130226.1.90
2013-08-02,Connacht Tribune,Ahascragh/Fohenagh juvenile hurling fixtures,https://irishnewsarchive.com/?a=d&d=CTT20130802.1.24
2014-05-03,Westmeath Independent,"Fohenagh 1, Brazukas 0 (soccer)",https://irishnewsarchive.com/?a=d&d=WMI20140503.1.73
2014-10-03,Connacht Tribune,Obituary / local news mentioning Fohenagh,https://irishnewsarchive.com/?a=d&d=CTT20141003.1.38
2014-11-15,Westmeath Independent,Skyvalley Rovers v Fohenagh (soccer fixture),https://irishnewsarchive.com/?a=d&d=WMI20141115.1.79
2014-12-05,Connacht Tribune,Community/social news mentioning Fohenagh,https://irishnewsarchive.com/?a=d&d=CTT20141205.1.53
2015-09-16,Tuam Herald,Fohenagh National School / school back with a bang,https://irishnewsarchive.com/?a=d&d=TTH20150916.1.51
2016-11-08,Connaught Telegraph,Ahascragh Fohenagh 0-19 (snippet),https://irishnewsarchive.com/?a=d&d=TCT20161108.1.81
2016-11-15,Connaught Telegraph,"AIB Connaught Club IHC final replay: Ahascragh Fohenagh 2-20, Ballyhaunis 0-7",https://irishnewsarchive.com/?a=d&d=TCT20161115.1.88
2017-01-27,Connacht Tribune,Galway intermediate All Stars hurling team,https://irishnewsarchive.com/?a=d&d=CTT20170127.1.126
2017-04-21,Connacht Tribune,Year to remember; Ahascragh Fohenagh Galway & Connacht IHC Champions and All Ireland finalists,https://irishnewsarchive.com/?a=d&d=CTT20170421.1.39
2017-10-18,Tuam Herald,Tuam Camogie Club / Fohenagh venue,https://irishnewsarchive.com/?a=d&d=TTH20171018.1.65
2017-11-10,Connacht Tribune,Community/social news mentioning Fohenagh Caltra,https://irishnewsarchive.com/?a=d&d=CTT20171110.1.52
2018-03-30,Connacht Tribune,Hurling heroes of the past / former players including Fohenagh,https://irishnewsarchive.com/?a=d&d=CTT20180330.1.17
2018-04-13,Connacht Tribune,"Obituary: Tom Kirwan, Fohenagh Caltra",https://irishnewsarchive.com/?a=d&d=CTT20180413.1.44
